               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.05999,            0.019449,              0.0784,             0.76452,            0.095158,            0.084301,            0.046604,            0.038736,           0.0082143,            0.071945,            0.070056,           0.0033271,           0.0033271
                   1,            0.044313,            0.011749,            0.060427,             0.77463,             0.25047,             0.25307,              0.1372,            0.039722,           0.0062866,            0.049098,            0.039726,           0.0063307,           0.0063307
                   2,            0.042833,           0.0097694,            0.041003,             0.87596,             0.30739,             0.35648,             0.20833,            0.036043,           0.0062245,            0.036513,           0.0090668,           0.0090044,           0.0090044
                   3,            0.038869,           0.0092774,            0.030288,             0.91493,              0.3577,             0.42924,             0.26253,             0.03232,           0.0060643,            0.027757,            0.008515,            0.008515,            0.008515
                   4,            0.036434,           0.0088046,            0.024678,             0.84753,             0.49712,             0.58328,             0.35068,            0.031467,           0.0055105,            0.022114,            0.008515,            0.008515,            0.008515
                   5,            0.034207,           0.0086283,            0.020856,             0.82392,             0.53277,             0.61587,               0.384,            0.030549,           0.0057295,            0.018806,             0.00802,             0.00802,             0.00802
                   6,            0.033119,           0.0084657,            0.017594,             0.80856,             0.67679,             0.72788,             0.46121,             0.02901,           0.0054212,             0.01537,            0.007525,            0.007525,            0.007525
                   7,            0.031662,           0.0080286,            0.015273,             0.72001,             0.77664,             0.80156,              0.5328,             0.02749,            0.005097,            0.012947,             0.00703,             0.00703,             0.00703
                   8,            0.030642,           0.0078257,            0.013244,             0.84073,             0.78903,             0.83625,             0.55734,            0.026897,           0.0049911,            0.011628,            0.006535,            0.006535,            0.006535
                   9,            0.029737,           0.0076545,            0.011392,             0.86697,             0.82005,             0.88763,             0.59367,            0.025883,           0.0048142,           0.0091528,             0.00604,             0.00604,             0.00604
                  10,            0.028549,           0.0073641,            0.009966,             0.89621,             0.86113,             0.89969,             0.62152,            0.025163,           0.0047727,           0.0088438,            0.005545,            0.005545,            0.005545
                  11,            0.027705,           0.0071755,           0.0085556,             0.89329,             0.89631,             0.92175,             0.64511,            0.024314,           0.0045457,           0.0071385,             0.00505,             0.00505,             0.00505
                  12,            0.026912,           0.0070543,           0.0076696,             0.93512,             0.88732,             0.91934,             0.64596,            0.024296,           0.0045262,           0.0061968,            0.004555,            0.004555,            0.004555
                  13,            0.025768,           0.0068416,           0.0065187,             0.94529,             0.89645,             0.92956,             0.65636,            0.023542,           0.0044218,           0.0053545,             0.00406,             0.00406,             0.00406
                  14,            0.024849,            0.006569,           0.0055706,             0.94636,             0.91182,             0.92967,             0.66573,            0.022097,           0.0043118,           0.0045438,            0.003565,            0.003565,            0.003565
                  15,            0.023547,           0.0064654,            0.005297,             0.94793,             0.90944,             0.94082,             0.68439,            0.021401,           0.0041935,           0.0040075,             0.00307,             0.00307,             0.00307
                  16,            0.022585,           0.0061861,           0.0045543,             0.96424,             0.90386,             0.93659,             0.69263,            0.021027,           0.0041326,            0.003402,            0.002575,            0.002575,            0.002575
                  17,            0.021601,           0.0060997,           0.0039523,             0.96827,             0.90518,             0.94559,             0.70892,            0.020008,           0.0040397,           0.0028608,             0.00208,             0.00208,             0.00208
                  18,            0.020435,           0.0059228,           0.0035009,             0.96729,             0.90733,             0.94115,             0.72561,            0.019286,           0.0039791,           0.0024794,            0.001585,            0.001585,            0.001585
                  19,             0.01974,           0.0058305,           0.0033412,             0.96869,             0.91355,             0.94849,             0.72588,              0.0185,           0.0038966,           0.0020779,             0.00109,             0.00109,             0.00109
