               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.031362,           0.0047847,             0.01876,             0.72841,             0.29585,             0.36655,             0.26157,            0.034532,           0.0040325,            0.025666,            0.070079,           0.0033245,           0.0033245
                   1,            0.036029,           0.0048115,            0.019407,             0.72016,             0.28066,             0.33386,             0.22348,            0.035456,           0.0043079,            0.028222,            0.040046,           0.0066249,           0.0066249
                   2,            0.039796,           0.0052124,            0.022838,             0.68785,             0.26631,             0.29286,              0.1791,            0.041288,           0.0045288,            0.028976,           0.0099805,           0.0098923,           0.0098923
                   3,            0.040092,           0.0059012,            0.029859,             0.67048,             0.21133,             0.24315,             0.15208,            0.042006,           0.0050805,            0.037637,           0.0098515,           0.0098515,           0.0098515
                   4,            0.040753,           0.0059725,            0.033918,             0.68919,             0.22309,              0.2605,             0.16763,            0.038741,           0.0048498,            0.035264,           0.0098515,           0.0098515,           0.0098515
                   5,            0.040564,           0.0060542,            0.032253,             0.72717,             0.21619,             0.26906,              0.1611,            0.039518,           0.0050266,            0.035241,            0.009802,            0.009802,            0.009802
                   6,            0.040921,           0.0059434,            0.032666,             0.65302,             0.23876,             0.26635,             0.17068,            0.040244,           0.0047794,            0.033386,           0.0097525,           0.0097525,           0.0097525
                   7,            0.041674,           0.0059616,            0.032281,             0.67581,             0.21975,             0.23636,             0.15221,            0.040854,           0.0051803,             0.03593,            0.009703,            0.009703,            0.009703
                   8,            0.040782,           0.0060507,             0.03149,             0.68778,             0.24323,             0.27155,              0.1721,            0.039922,           0.0049354,            0.035089,           0.0096535,           0.0096535,           0.0096535
                   9,            0.041337,           0.0061134,            0.031371,             0.73212,             0.23527,             0.27277,             0.17978,            0.037265,           0.0048491,            0.033891,            0.009604,            0.009604,            0.009604
                  10,            0.040467,           0.0060476,            0.031694,             0.68124,             0.25251,             0.26326,             0.17185,            0.038136,           0.0048582,            0.033803,           0.0095545,           0.0095545,           0.0095545
                  11,            0.039881,           0.0059045,            0.030188,              0.7289,             0.22611,             0.27277,             0.17586,            0.039466,           0.0047157,            0.033193,            0.009505,            0.009505,            0.009505
