               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.078847,            0.023285,            0.078976,             0.82394,             0.13618,             0.15511,            0.084309,            0.040697,            0.012012,            0.065961,            0.070056,           0.0033271,           0.0033271
                   1,            0.045324,            0.014419,            0.053691,             0.80287,             0.28888,             0.31372,             0.16469,            0.037155,           0.0073298,            0.044954,            0.040023,           0.0066275,           0.0066275
                   2,            0.042458,            0.010916,            0.038188,             0.84703,             0.41788,             0.50894,             0.27529,            0.035705,           0.0062965,            0.032504,           0.0099572,           0.0098948,           0.0098948
                   3,            0.039005,           0.0099958,             0.02809,             0.83115,             0.52105,             0.58956,             0.33278,             0.03239,           0.0061134,             0.02488,           0.0098515,           0.0098515,           0.0098515
                   4,            0.036201,           0.0093922,            0.022423,             0.79187,             0.57377,             0.69576,             0.42688,            0.031785,           0.0059276,            0.020139,           0.0098515,           0.0098515,           0.0098515
                   5,            0.034454,           0.0091955,            0.019354,             0.80559,             0.68754,             0.74093,             0.45143,            0.032191,           0.0057469,            0.017583,            0.009802,            0.009802,            0.009802
                   6,             0.03382,           0.0089938,            0.016834,             0.71054,             0.77656,             0.80773,             0.51259,            0.028639,           0.0055205,            0.014063,           0.0097525,           0.0097525,           0.0097525
                   7,             0.03285,           0.0086205,            0.014539,             0.80634,             0.84095,             0.87451,             0.56369,            0.028235,           0.0053248,            0.012261,            0.009703,            0.009703,            0.009703
                   8,            0.032049,           0.0085187,            0.013106,             0.82063,             0.86553,             0.87734,             0.56664,             0.02863,           0.0053571,            0.011029,           0.0096535,           0.0096535,           0.0096535
                   9,            0.031614,           0.0084451,            0.011738,             0.86732,             0.82751,             0.88613,             0.59013,            0.026691,           0.0052253,           0.0097689,            0.009604,            0.009604,            0.009604
                  10,             0.03088,           0.0082061,            0.010718,             0.89115,             0.81077,             0.88072,             0.60108,            0.026382,            0.005201,           0.0091392,           0.0095545,           0.0095545,           0.0095545
