               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.07623,            0.017257,             0.11087,            0.003128,             0.26486,           0.0056855,           0.0026134,            0.055381,            0.010142,             0.10696,            0.070079,           0.0033245,           0.0033245
                   1,             0.05687,             0.01095,            0.099975,           0.0028108,             0.28731,           0.0050594,            0.001831,            0.070843,           0.0070419,            0.098773,            0.040046,           0.0066249,           0.0066249
                   2,            0.057898,           0.0087191,              0.0949,             0.92113,            0.022617,            0.010911,           0.0045335,            0.051867,            0.006453,            0.091904,           0.0099805,           0.0098923,           0.0098923
                   3,            0.053427,           0.0077019,            0.086898,             0.92218,            0.031597,             0.02423,            0.011908,            0.050527,           0.0060249,            0.084932,           0.0098515,           0.0098515,           0.0098515
                   4,            0.050216,           0.0071504,            0.083562,             0.88995,            0.052568,            0.035345,            0.020595,            0.046438,           0.0058675,            0.080714,           0.0098515,           0.0098515,           0.0098515
                   5,            0.047571,           0.0069643,            0.079577,              0.8767,            0.061018,            0.040776,            0.023779,            0.042228,           0.0057411,            0.077604,            0.009802,            0.009802,            0.009802
                   6,            0.045815,           0.0066918,            0.074854,             0.87265,            0.067605,             0.04583,            0.026503,            0.040829,            0.005594,            0.074648,           0.0097525,           0.0097525,           0.0097525
                   7,            0.045213,           0.0066089,            0.073033,             0.86512,            0.075613,            0.053039,            0.031649,            0.043675,           0.0055119,            0.073141,            0.009703,            0.009703,            0.009703
                   8,            0.043609,           0.0066175,            0.070914,             0.87709,            0.075038,            0.057519,            0.035186,            0.041483,           0.0052207,             0.07074,           0.0096535,           0.0096535,           0.0096535
                   9,            0.042937,           0.0065992,            0.069906,             0.86538,            0.089908,            0.068169,            0.041303,            0.036134,           0.0051537,            0.067894,            0.009604,            0.009604,            0.009604
                  10,            0.042181,           0.0063463,            0.068958,             0.86947,            0.086578,            0.074238,            0.046682,            0.040045,           0.0050798,            0.067125,           0.0095545,           0.0095545,           0.0095545
                  11,            0.040732,           0.0062763,            0.066554,             0.85872,             0.10008,            0.083081,            0.051134,            0.036685,            0.005005,            0.065141,            0.009505,            0.009505,            0.009505
                  12,            0.041402,           0.0061623,            0.065404,             0.87976,             0.10757,            0.092029,            0.057118,            0.036267,           0.0049247,              0.0632,           0.0094555,           0.0094555,           0.0094555
                  13,            0.040053,           0.0060482,             0.06365,             0.87161,             0.10482,            0.092715,            0.059597,            0.036422,           0.0049046,            0.063017,            0.009406,            0.009406,            0.009406
                  14,             0.03989,            0.006084,            0.062394,             0.85853,             0.12231,            0.098147,            0.063955,             0.03517,           0.0048139,            0.060467,           0.0093565,           0.0093565,           0.0093565
                  15,             0.03916,            0.006033,            0.062048,             0.86785,             0.11627,             0.10062,            0.064734,            0.033941,           0.0048586,            0.060403,            0.009307,            0.009307,            0.009307
                  16,            0.038336,            0.006009,            0.059806,             0.84751,             0.12129,             0.10188,            0.066059,            0.036262,            0.004864,            0.059264,           0.0092575,           0.0092575,           0.0092575
                  17,            0.038175,           0.0059437,            0.058108,             0.85877,             0.11988,             0.10713,            0.068864,            0.034669,           0.0049662,            0.058492,            0.009208,            0.009208,            0.009208
                  18,            0.038695,           0.0059512,            0.057974,              0.8724,             0.12072,             0.11664,            0.074746,            0.035685,           0.0048981,            0.057693,           0.0091585,           0.0091585,           0.0091585
                  19,            0.038198,           0.0059672,            0.058182,             0.88916,             0.11887,             0.12199,            0.080931,             0.03455,           0.0048114,            0.056225,            0.009109,            0.009109,            0.009109
                  20,            0.037905,           0.0057948,               0.057,              0.8853,             0.12308,             0.12987,            0.085797,            0.033172,           0.0047109,            0.055153,           0.0090595,           0.0090595,           0.0090595
                  21,            0.037614,            0.005838,            0.054719,             0.89497,             0.12014,              0.1353,            0.088428,            0.033257,           0.0046727,            0.054298,             0.00901,             0.00901,             0.00901
                  22,            0.037672,            0.005802,            0.054328,             0.90106,             0.13111,             0.14458,            0.096942,            0.034505,           0.0045674,            0.053108,           0.0089605,           0.0089605,           0.0089605
                  23,            0.037366,           0.0057694,            0.053446,             0.89339,             0.12764,             0.13708,              0.0904,            0.032175,           0.0045735,            0.053106,            0.008911,            0.008911,            0.008911
                  24,            0.037022,           0.0057115,            0.051792,             0.87624,             0.14612,             0.15341,             0.10447,            0.031055,           0.0045801,             0.05174,           0.0088615,           0.0088615,           0.0088615
                  25,            0.036852,           0.0056778,            0.051007,             0.87278,             0.15124,             0.15866,             0.10508,            0.034419,           0.0045107,            0.049952,            0.008812,            0.008812,            0.008812
                  26,            0.037152,           0.0057449,            0.050379,             0.88679,              0.1438,             0.15864,             0.10778,            0.032604,           0.0045066,            0.050055,           0.0087625,           0.0087625,           0.0087625
                  27,            0.037242,           0.0055892,            0.050279,             0.83251,             0.15368,             0.15877,             0.10703,            0.032273,           0.0046146,            0.049687,            0.008713,            0.008713,            0.008713
                  28,            0.037066,           0.0057766,            0.049933,              0.8952,             0.14405,             0.16408,              0.1106,            0.033044,           0.0047185,            0.048787,           0.0086635,           0.0086635,           0.0086635
                  29,             0.03725,           0.0057632,            0.047792,             0.87894,              0.1576,             0.17074,             0.11818,            0.034909,           0.0044927,            0.047091,            0.008614,            0.008614,            0.008614
                  30,            0.037771,           0.0055667,            0.047472,             0.86358,             0.14779,             0.16732,              0.1147,            0.032807,            0.004489,            0.048176,           0.0085645,           0.0085645,           0.0085645
                  31,            0.036688,           0.0055729,            0.046875,             0.85609,             0.14858,             0.16796,             0.11536,            0.032067,           0.0045877,            0.047137,            0.008515,            0.008515,            0.008515
                  32,            0.036866,           0.0057245,            0.048258,             0.83292,             0.16603,             0.17653,             0.12185,            0.031315,           0.0044787,            0.046554,           0.0084655,           0.0084655,           0.0084655
                  33,             0.03711,           0.0056672,            0.047158,             0.84271,             0.15975,             0.17733,             0.12164,            0.031303,           0.0045701,            0.046077,            0.008416,            0.008416,            0.008416
                  34,              0.0364,           0.0056952,            0.045709,             0.85809,             0.16941,             0.18763,             0.12974,            0.030683,           0.0043727,            0.044765,           0.0083665,           0.0083665,           0.0083665
                  35,            0.036554,           0.0056063,            0.045062,             0.84355,             0.17408,             0.18429,             0.12803,            0.030112,           0.0045033,            0.044921,            0.008317,            0.008317,            0.008317
                  36,            0.036684,           0.0055389,            0.045191,             0.84088,             0.19199,              0.1983,             0.13938,            0.032131,           0.0043924,            0.043295,           0.0082675,           0.0082675,           0.0082675
                  37,            0.035966,           0.0056094,            0.043493,             0.87847,             0.17314,             0.19579,             0.13613,            0.029279,             0.00442,            0.042907,            0.008218,            0.008218,            0.008218
                  38,            0.036197,           0.0054413,            0.043028,             0.87165,             0.17459,             0.19646,             0.13781,            0.030947,            0.004403,            0.043563,           0.0081685,           0.0081685,           0.0081685
                  39,            0.036094,           0.0054931,            0.043755,             0.85159,             0.18577,              0.2028,             0.14101,             0.03057,           0.0043652,             0.04338,            0.008119,            0.008119,            0.008119
