               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.067807,            0.020902,            0.082473,             0.67191,            0.072298,            0.048339,            0.025762,            0.041706,           0.0096298,             0.07701,            0.070056,           0.0033271,           0.0033271
                   1,            0.046619,            0.013345,            0.070593,             0.72466,              0.1477,             0.11597,            0.062796,            0.036938,           0.0071265,            0.067291,            0.040023,           0.0066275,           0.0066275
                   2,             0.04527,            0.011241,            0.058137,             0.73911,             0.20181,              0.1775,            0.087943,            0.036273,           0.0068217,            0.053292,           0.0099572,           0.0098948,           0.0098948
                   3,             0.04199,            0.010779,             0.04611,             0.78005,             0.27715,             0.28896,             0.16386,            0.035164,           0.0063816,            0.042053,           0.0098515,           0.0098515,           0.0098515
                   4,            0.039329,            0.010123,            0.037883,             0.82569,             0.30067,             0.33634,              0.1898,            0.033445,           0.0065336,             0.03559,           0.0098515,           0.0098515,           0.0098515
                   5,            0.037644,           0.0099925,            0.033048,             0.90578,             0.32027,             0.39158,             0.23567,            0.032551,           0.0061091,            0.030805,            0.009802,            0.009802,            0.009802
                   6,             0.03649,           0.0098144,            0.029196,             0.88924,             0.37845,             0.44965,             0.28219,            0.030924,           0.0061354,            0.027731,           0.0097525,           0.0097525,           0.0097525
                   7,            0.035758,           0.0095214,             0.02669,             0.91146,              0.3829,             0.51434,             0.30934,            0.030888,           0.0058595,            0.023482,            0.009703,            0.009703,            0.009703
                   8,            0.035032,           0.0094359,            0.023958,             0.89539,             0.41456,             0.56805,             0.34736,            0.030198,           0.0058263,            0.022118,           0.0096535,           0.0096535,           0.0096535
                   9,            0.034333,           0.0093541,            0.021889,             0.70881,             0.51301,             0.63329,             0.40301,            0.029122,            0.005662,            0.019619,            0.009604,            0.009604,            0.009604
                  10,            0.034163,           0.0091244,            0.020436,             0.61974,             0.60482,             0.68631,              0.4422,            0.029448,            0.005748,            0.018731,           0.0095545,           0.0095545,           0.0095545
                  11,            0.033868,           0.0090805,            0.018887,             0.64951,             0.67404,              0.7204,             0.47432,             0.02819,           0.0055252,            0.015934,            0.009505,            0.009505,            0.009505
                  12,            0.033616,           0.0090095,            0.017418,             0.77701,             0.61937,              0.7405,             0.48609,            0.028185,           0.0054046,            0.015421,           0.0094555,           0.0094555,           0.0094555
                  13,            0.032837,            0.008889,            0.016308,             0.72387,             0.66649,             0.73205,             0.48039,            0.028125,           0.0054893,            0.013937,            0.009406,            0.009406,            0.009406
                  14,            0.032795,           0.0088941,            0.015296,             0.66846,             0.74141,             0.79968,             0.52741,            0.027573,           0.0053347,            0.012677,           0.0093565,           0.0093565,           0.0093565
                  15,            0.032477,           0.0087402,            0.014254,             0.76398,             0.75441,             0.80067,             0.52435,            0.026732,           0.0052936,            0.010525,            0.009307,            0.009307,            0.009307
                  16,            0.032315,           0.0085618,            0.013485,             0.85214,             0.67372,             0.78911,             0.51416,            0.027758,           0.0053214,            0.010902,           0.0092575,           0.0092575,           0.0092575
                  17,            0.031846,           0.0086279,            0.012984,             0.86736,             0.65989,             0.79977,             0.52335,            0.027168,           0.0053485,            0.011312,            0.009208,            0.009208,            0.009208
                  18,            0.031523,            0.008576,            0.012237,             0.78754,             0.76048,             0.83683,             0.56082,            0.026615,           0.0052545,             0.01015,           0.0091585,           0.0091585,           0.0091585
                  19,            0.031464,           0.0086287,             0.01232,             0.85259,             0.75004,             0.84654,             0.55757,            0.026551,           0.0052972,           0.0086342,            0.009109,            0.009109,            0.009109
                  20,            0.031294,           0.0084745,            0.011059,             0.79387,             0.81184,             0.87131,             0.57645,            0.026216,           0.0051489,           0.0089482,           0.0090595,           0.0090595,           0.0090595
                  21,             0.03071,           0.0083467,            0.010956,             0.81329,             0.81305,             0.86656,             0.59255,            0.025841,           0.0051234,           0.0087298,             0.00901,             0.00901,             0.00901
                  22,            0.030801,           0.0083687,            0.010718,             0.78133,              0.8561,             0.87869,             0.59527,            0.025889,           0.0051979,           0.0081903,           0.0089605,           0.0089605,           0.0089605
                  23,            0.030747,           0.0082785,            0.010655,              0.8269,             0.84408,              0.8948,             0.60889,             0.02542,           0.0050746,           0.0076799,            0.008911,            0.008911,            0.008911
                  24,            0.030578,           0.0083141,           0.0098549,             0.86063,              0.8263,             0.89469,             0.60876,            0.025062,           0.0051107,           0.0072002,           0.0088615,           0.0088615,           0.0088615
                  25,            0.030071,           0.0081982,           0.0092211,             0.86649,             0.84764,             0.89458,             0.60971,            0.025194,           0.0050616,           0.0067693,            0.008812,            0.008812,            0.008812
                  26,            0.029842,           0.0080782,           0.0090468,              0.9067,             0.82374,             0.88843,             0.61091,            0.024764,           0.0050743,           0.0067433,           0.0087625,           0.0087625,           0.0087625
                  27,            0.029822,           0.0082773,           0.0089343,             0.87497,             0.85462,             0.89891,             0.62387,            0.024266,           0.0050247,           0.0060761,            0.008713,            0.008713,            0.008713
                  28,            0.029673,           0.0080661,           0.0085096,             0.90882,             0.84722,             0.90754,             0.61807,            0.024351,           0.0049504,           0.0056748,           0.0086635,           0.0086635,           0.0086635
                  29,            0.029412,           0.0081256,           0.0084256,             0.92172,             0.85762,             0.91604,             0.62765,            0.023768,           0.0049376,           0.0056173,            0.008614,            0.008614,            0.008614
                  30,             0.02922,           0.0079873,           0.0077694,             0.91463,             0.85642,             0.91866,             0.64259,            0.023712,           0.0049034,           0.0053295,           0.0085645,           0.0085645,           0.0085645
                  31,            0.029636,           0.0079798,           0.0078864,             0.92598,             0.87569,             0.92166,              0.6504,            0.024128,           0.0049267,           0.0050488,            0.008515,            0.008515,            0.008515
                  32,            0.029112,           0.0079748,           0.0074967,             0.90245,             0.88674,             0.92104,             0.65561,            0.023242,           0.0048536,           0.0050487,           0.0084655,           0.0084655,           0.0084655
                  33,            0.028604,            0.007878,           0.0076305,             0.88902,             0.90949,             0.92613,             0.65556,            0.023375,            0.004889,           0.0044181,            0.008416,            0.008416,            0.008416
                  34,            0.028913,            0.007929,            0.007335,             0.89854,             0.89674,             0.92114,             0.64905,            0.023243,           0.0048156,           0.0048379,           0.0083665,           0.0083665,           0.0083665
                  35,            0.028703,           0.0078472,           0.0074979,             0.90337,              0.8961,             0.92828,               0.653,            0.023044,           0.0048243,           0.0045911,            0.008317,            0.008317,            0.008317
                  36,            0.028746,           0.0079101,            0.007149,             0.93792,             0.87838,             0.92631,              0.6494,            0.023053,           0.0047405,           0.0043703,           0.0082675,           0.0082675,           0.0082675
                  37,            0.028331,           0.0077306,           0.0065913,             0.91652,             0.89321,             0.92928,             0.66464,            0.022879,           0.0047208,           0.0046492,            0.008218,            0.008218,            0.008218
                  38,            0.028222,           0.0076568,             0.00673,             0.91405,              0.8855,             0.92257,             0.65842,            0.022575,           0.0046831,           0.0040584,           0.0081685,           0.0081685,           0.0081685
                  39,            0.027943,           0.0076742,           0.0064368,             0.93574,             0.88561,             0.91859,             0.65882,            0.022387,           0.0046332,           0.0042858,            0.008119,            0.008119,            0.008119
                  40,            0.027968,           0.0077695,            0.006382,             0.91434,             0.89845,             0.92177,             0.66765,            0.022324,           0.0046947,            0.004096,           0.0080695,           0.0080695,           0.0080695
                  41,            0.027987,           0.0076131,           0.0065325,              0.9339,             0.90199,             0.92422,             0.67571,            0.022245,           0.0046631,           0.0038081,             0.00802,             0.00802,             0.00802
                  42,            0.027976,           0.0077603,           0.0060823,             0.94701,             0.89398,             0.92766,              0.6769,            0.021907,           0.0046091,           0.0039316,           0.0079705,           0.0079705,           0.0079705
                  43,            0.027635,           0.0075809,           0.0063422,             0.94428,             0.89655,              0.9309,             0.67435,            0.021847,           0.0046242,           0.0036096,            0.007921,            0.007921,            0.007921
                  44,            0.027456,            0.007585,           0.0058398,             0.94522,             0.88907,             0.92722,             0.67936,            0.021811,           0.0046881,           0.0035354,           0.0078715,           0.0078715,           0.0078715
                  45,            0.027695,           0.0075412,           0.0060877,             0.95066,             0.89859,             0.92944,             0.68258,             0.02149,           0.0046017,            0.003281,            0.007822,            0.007822,            0.007822
                  46,            0.027186,           0.0075424,            0.005764,             0.94576,             0.90717,             0.93439,              0.6925,            0.021633,           0.0045784,           0.0033252,           0.0077725,           0.0077725,           0.0077725
                  47,            0.027307,           0.0074962,           0.0058712,             0.93909,             0.89914,             0.93635,              0.6879,            0.021566,           0.0045231,           0.0031722,            0.007723,            0.007723,            0.007723
                  48,            0.027139,           0.0076425,           0.0053777,             0.94769,             0.90635,             0.93658,             0.69184,            0.021157,           0.0045024,           0.0030003,           0.0076735,           0.0076735,           0.0076735
                  49,            0.027029,           0.0074947,           0.0057027,             0.96018,             0.90588,             0.93737,             0.70312,            0.021192,           0.0045202,           0.0029758,            0.007624,            0.007624,            0.007624
                  50,            0.027119,           0.0075306,           0.0054744,             0.95582,             0.90375,             0.93693,             0.70189,            0.020953,           0.0044553,           0.0029108,           0.0075745,           0.0075745,           0.0075745
                  51,            0.027046,           0.0074759,           0.0053882,             0.95975,             0.90136,             0.93892,             0.70237,            0.021054,           0.0044908,           0.0030026,            0.007525,            0.007525,            0.007525
