               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10089,            0.023746,            0.087687,          3.3729e-05,           0.0004985,          1.7292e-05,          5.1876e-06,              0.0912,            0.014125,            0.083017,            0.070056,           0.0033271,           0.0033271
                   1,            0.083616,            0.023044,            0.075387,             0.76949,            0.036285,            0.026788,            0.010031,            0.061802,            0.013186,             0.07088,            0.040023,           0.0066275,           0.0066275
                   2,            0.065223,            0.018159,            0.062822,             0.63643,             0.12941,            0.068927,            0.027716,            0.051998,            0.011077,             0.06202,           0.0099572,           0.0098948,           0.0098948
                   3,            0.055533,            0.015532,            0.055781,             0.65747,             0.21953,             0.13027,            0.065882,            0.043692,           0.0091667,            0.054222,           0.0098515,           0.0098515,           0.0098515
                   4,            0.049355,            0.013957,            0.050341,             0.67167,             0.21361,             0.16373,            0.088253,            0.041603,           0.0085824,            0.050308,           0.0098515,           0.0098515,           0.0098515
                   5,            0.045824,            0.013184,            0.046024,               0.741,             0.26342,             0.22251,             0.11669,            0.039052,           0.0078295,              0.0445,            0.009802,            0.009802,            0.009802
                   6,            0.043758,            0.012747,            0.042687,             0.73769,             0.26814,             0.23464,             0.13638,            0.034992,           0.0073254,            0.041717,           0.0097525,           0.0097525,           0.0097525
                   7,            0.042176,            0.012209,            0.040217,             0.76803,             0.27539,             0.26012,             0.15424,            0.034001,           0.0072776,            0.039014,            0.009703,            0.009703,            0.009703
                   8,            0.040975,            0.011852,             0.03823,             0.73433,             0.26883,             0.27437,             0.15664,            0.034692,           0.0070594,            0.038028,           0.0096535,           0.0096535,           0.0096535
                   9,            0.039376,            0.011737,            0.036538,             0.71821,             0.31476,             0.30638,             0.18501,            0.032161,           0.0068932,            0.036259,            0.009604,            0.009604,            0.009604
                  10,            0.038999,             0.01141,             0.03526,             0.74615,             0.33278,             0.32442,             0.19666,             0.03215,           0.0069667,            0.035126,           0.0095545,           0.0095545,           0.0095545
                  11,            0.038313,            0.011317,            0.034172,             0.88623,              0.2508,             0.33647,             0.20536,            0.030787,           0.0066615,            0.033783,            0.009505,            0.009505,            0.009505
                  12,            0.037552,            0.011175,            0.032936,             0.82623,             0.31968,             0.36953,             0.23149,            0.030374,           0.0064108,            0.031992,           0.0094555,           0.0094555,           0.0094555
                  13,            0.036694,            0.010935,             0.03159,             0.82712,             0.32029,             0.38093,             0.23404,            0.030578,           0.0064102,            0.031158,            0.009406,            0.009406,            0.009406
                  14,            0.036697,            0.010834,             0.03068,             0.83728,             0.34675,             0.40177,              0.2545,            0.029814,           0.0063411,            0.029247,           0.0093565,           0.0093565,           0.0093565
                  15,            0.036055,            0.010662,            0.029038,             0.83793,             0.35532,             0.42175,             0.27111,            0.029333,           0.0061473,            0.027903,            0.009307,            0.009307,            0.009307
                  16,            0.036163,            0.010501,            0.027855,             0.84971,             0.35953,             0.43853,             0.27684,            0.030925,           0.0063064,            0.027161,           0.0092575,           0.0092575,           0.0092575
                  17,            0.035784,            0.010505,             0.02719,             0.88207,             0.36223,             0.45894,             0.29174,            0.029314,           0.0061247,            0.024961,            0.009208,            0.009208,            0.009208
                  18,             0.03511,            0.010396,            0.025791,             0.87639,             0.38217,             0.47472,             0.30152,            0.028625,           0.0060049,            0.023907,           0.0091585,           0.0091585,           0.0091585
                  19,            0.035551,            0.010382,            0.025559,             0.86386,             0.39302,             0.48214,             0.30818,            0.029141,           0.0061592,            0.023243,            0.009109,            0.009109,            0.009109
                  20,            0.034757,            0.010203,            0.024025,             0.66296,              0.4734,             0.52445,             0.34066,            0.028379,           0.0060584,            0.021929,           0.0090595,           0.0090595,           0.0090595
                  21,             0.03396,            0.010049,            0.023344,             0.64034,             0.47645,              0.5353,             0.35371,            0.027952,           0.0059348,            0.021357,             0.00901,             0.00901,             0.00901
                  22,            0.034114,            0.010035,            0.023012,             0.63146,             0.51733,             0.55583,             0.36275,            0.027559,           0.0058532,            0.020485,           0.0089605,           0.0089605,           0.0089605
                  23,            0.034273,            0.009912,             0.02288,             0.64924,             0.52163,             0.57428,             0.37183,            0.027691,           0.0058339,              0.0197,            0.008911,            0.008911,            0.008911
                  24,            0.034127,           0.0099402,             0.02187,             0.64482,             0.56096,             0.59165,             0.39266,            0.027544,            0.005772,            0.018726,           0.0088615,           0.0088615,           0.0088615
                  25,            0.033489,           0.0098109,            0.020639,             0.58633,             0.57333,             0.60578,             0.39851,            0.027655,           0.0058069,            0.017982,            0.008812,            0.008812,            0.008812
                  26,            0.033377,            0.009663,            0.020508,              0.7172,             0.54133,              0.6244,             0.41712,            0.027007,           0.0057917,            0.017437,           0.0087625,           0.0087625,           0.0087625
                  27,            0.033201,           0.0098636,            0.020042,              0.6631,             0.61696,             0.64635,             0.42778,            0.026606,           0.0056535,            0.016291,            0.008713,            0.008713,            0.008713
                  28,            0.033327,           0.0096375,             0.01946,             0.64444,             0.62281,             0.66074,             0.44283,            0.026852,           0.0055851,            0.015947,           0.0086635,           0.0086635,           0.0086635
                  29,            0.033459,           0.0097238,            0.019015,             0.61352,             0.62235,             0.66927,             0.44575,             0.02609,            0.005592,            0.015105,            0.008614,            0.008614,            0.008614
                  30,            0.032936,           0.0095995,            0.018143,             0.63718,             0.67571,             0.68122,             0.45943,            0.026372,           0.0055637,            0.014472,           0.0085645,           0.0085645,           0.0085645
                  31,            0.033112,           0.0094776,            0.017495,              0.7069,             0.66037,             0.71017,             0.48299,            0.026199,           0.0055426,            0.014125,            0.008515,            0.008515,            0.008515
                  32,            0.032594,           0.0095003,            0.017244,             0.57765,             0.73394,             0.72311,              0.4867,            0.025782,            0.005445,            0.013574,           0.0084655,           0.0084655,           0.0084655
                  33,            0.032546,           0.0093882,            0.016986,             0.62567,             0.69577,             0.73763,             0.50544,            0.025706,           0.0054789,            0.012829,            0.008416,            0.008416,            0.008416
                  34,            0.032547,           0.0094596,            0.016497,             0.68094,             0.70567,             0.73746,             0.50338,            0.025672,           0.0054398,            0.012527,           0.0083665,           0.0083665,           0.0083665
                  35,            0.032137,           0.0092257,            0.015775,             0.71735,             0.69001,             0.74539,             0.50564,            0.025471,           0.0053466,            0.011704,            0.008317,            0.008317,            0.008317
                  36,            0.032005,            0.009361,            0.015407,             0.74065,             0.72413,              0.7541,             0.51163,            0.025438,           0.0053833,            0.011352,           0.0082675,           0.0082675,           0.0082675
                  37,            0.032267,           0.0093481,            0.015319,             0.72362,              0.7102,             0.74981,             0.51679,            0.025149,           0.0053684,            0.011179,            0.008218,            0.008218,            0.008218
                  38,            0.031789,           0.0092008,            0.014934,             0.68625,             0.73267,             0.77079,             0.54021,            0.024864,           0.0053433,            0.010625,           0.0081685,           0.0081685,           0.0081685
                  39,            0.031644,            0.009128,            0.014165,             0.69109,             0.77612,             0.78389,             0.54632,            0.024723,           0.0052834,            0.010236,            0.008119,            0.008119,            0.008119
                  40,            0.031775,            0.009241,            0.013754,             0.70522,             0.73691,             0.78418,             0.54866,            0.024746,           0.0052896,            0.010214,           0.0080695,           0.0080695,           0.0080695
                  41,            0.031574,           0.0091184,            0.013945,             0.75367,             0.75164,             0.79593,             0.54426,            0.024658,           0.0052634,           0.0099801,             0.00802,             0.00802,             0.00802
                  42,             0.03173,           0.0092602,            0.013732,             0.76323,             0.73885,              0.8048,               0.562,            0.024468,           0.0052743,           0.0095861,           0.0079705,           0.0079705,           0.0079705
                  43,            0.031309,           0.0090241,            0.013455,             0.73465,             0.77713,             0.80111,             0.55259,            0.024268,            0.005191,           0.0092204,            0.007921,            0.007921,            0.007921
                  44,            0.030977,           0.0089667,            0.012938,             0.74252,             0.77257,             0.80482,             0.55324,            0.024253,           0.0052317,            0.008926,           0.0078715,           0.0078715,           0.0078715
                  45,            0.031341,            0.009046,            0.013064,             0.74866,             0.80083,             0.81721,             0.56842,            0.024096,           0.0051181,           0.0087726,            0.007822,            0.007822,            0.007822
                  46,            0.030821,            0.009028,            0.012682,             0.72414,             0.79655,             0.80936,             0.57166,            0.024031,            0.005164,           0.0082867,           0.0077725,           0.0077725,           0.0077725
                  47,             0.03107,           0.0089311,            0.012114,             0.77212,             0.78067,             0.83548,              0.5777,            0.023825,           0.0051246,           0.0080046,            0.007723,            0.007723,            0.007723
                  48,            0.030612,           0.0090413,            0.012085,              0.7714,             0.77872,             0.83133,             0.58165,            0.023618,           0.0051338,           0.0077346,           0.0076735,           0.0076735,           0.0076735
                  49,            0.030796,           0.0088421,            0.011842,             0.72661,             0.81175,             0.83112,              0.5844,            0.023858,           0.0051109,            0.007323,            0.007624,            0.007624,            0.007624
                  50,            0.030736,           0.0089701,            0.011722,             0.77412,             0.81531,             0.84972,             0.59604,            0.023547,           0.0050916,           0.0071204,           0.0075745,           0.0075745,           0.0075745
                  51,            0.030562,            0.008877,            0.011313,             0.73252,              0.8324,             0.84205,             0.59782,            0.023507,           0.0050554,            0.007371,            0.007525,            0.007525,            0.007525
                  52,            0.030325,           0.0089297,            0.011123,             0.73405,             0.83121,             0.85153,             0.60291,            0.023438,           0.0050733,           0.0069715,           0.0074755,           0.0074755,           0.0074755
                  53,            0.030401,           0.0088084,             0.01104,             0.82182,             0.79359,             0.86241,             0.61417,             0.02317,           0.0050539,           0.0067866,            0.007426,            0.007426,            0.007426
                  54,             0.03003,           0.0086918,            0.010359,             0.87908,             0.77941,             0.86519,             0.62062,            0.023156,           0.0050229,           0.0065402,           0.0073765,           0.0073765,           0.0073765
                  55,            0.030102,            0.008667,            0.010585,             0.77704,             0.84859,             0.87258,             0.62795,               0.023,            0.005035,           0.0063088,            0.007327,            0.007327,            0.007327
                  56,            0.030106,            0.008789,             0.01057,             0.80252,             0.86704,             0.89376,              0.6379,             0.02298,            0.004993,           0.0061844,           0.0072775,           0.0072775,           0.0072775
                  57,             0.02987,           0.0085195,            0.010299,             0.85286,             0.85364,             0.89837,             0.64145,             0.02274,            0.005001,           0.0058907,            0.007228,            0.007228,            0.007228
                  58,            0.029941,           0.0086964,            0.010092,             0.88426,             0.84307,              0.9008,             0.64828,            0.022571,           0.0049792,           0.0057033,           0.0071785,           0.0071785,           0.0071785
                  59,            0.029903,           0.0086387,           0.0097375,             0.88497,             0.84292,             0.90089,             0.64905,            0.022723,           0.0049916,           0.0053901,            0.007129,            0.007129,            0.007129
                  60,            0.029666,           0.0085841,           0.0094312,             0.86704,             0.85427,             0.89652,             0.65602,            0.022527,           0.0048963,           0.0054259,           0.0070795,           0.0070795,           0.0070795
                  61,            0.029447,           0.0084861,           0.0091329,             0.89651,             0.86608,             0.90749,             0.65939,            0.022331,           0.0049214,           0.0053281,             0.00703,             0.00703,             0.00703
                  62,            0.029438,           0.0085258,           0.0092672,             0.89183,             0.86951,             0.90522,             0.65832,            0.022256,           0.0049144,           0.0051372,           0.0069805,           0.0069805,           0.0069805
                  63,            0.029356,           0.0084845,           0.0095147,             0.88126,             0.88582,             0.91094,             0.66253,             0.02223,           0.0049101,            0.004892,            0.006931,            0.006931,            0.006931
                  64,            0.029053,           0.0084121,           0.0087602,             0.87732,             0.86199,             0.89763,             0.66231,            0.022144,           0.0048572,           0.0048497,           0.0068815,           0.0068815,           0.0068815
                  65,            0.029449,           0.0084518,           0.0093834,             0.88264,             0.87864,             0.90939,             0.66342,            0.022189,            0.004854,           0.0048053,            0.006832,            0.006832,            0.006832
                  66,            0.029314,           0.0084916,           0.0089381,             0.85427,              0.8911,             0.90838,              0.6611,            0.022142,           0.0048296,           0.0045163,           0.0067825,           0.0067825,           0.0067825
                  67,            0.029018,           0.0084246,           0.0084733,             0.86745,             0.88587,             0.90804,             0.65725,            0.021959,           0.0048066,           0.0043525,            0.006733,            0.006733,            0.006733
                  68,            0.028892,           0.0084105,           0.0085302,             0.88962,             0.88117,             0.91277,             0.65965,            0.021772,           0.0048012,           0.0042518,           0.0066835,           0.0066835,           0.0066835
                  69,            0.029001,           0.0084731,           0.0083726,             0.87555,             0.88597,             0.91152,             0.66653,            0.021765,           0.0048157,           0.0040138,            0.006634,            0.006634,            0.006634
                  70,             0.02906,           0.0082489,           0.0080965,             0.87965,              0.8627,             0.91132,             0.66566,            0.021677,           0.0047982,           0.0040806,           0.0065845,           0.0065845,           0.0065845
                  71,            0.028855,           0.0084254,           0.0081479,              0.8748,             0.89152,             0.90934,             0.66248,            0.021744,           0.0047893,           0.0040269,            0.006535,            0.006535,            0.006535
                  72,            0.028709,           0.0084303,           0.0081299,             0.86565,             0.88561,             0.90931,             0.66363,            0.021625,           0.0047807,           0.0039848,           0.0064855,           0.0064855,           0.0064855
                  73,            0.028514,           0.0083314,           0.0078177,             0.88214,             0.87721,             0.91419,             0.66641,            0.021564,           0.0047696,           0.0038664,            0.006436,            0.006436,            0.006436
                  74,            0.028258,            0.008398,           0.0075879,              0.8855,             0.89086,             0.91969,             0.67173,            0.021475,           0.0047371,           0.0036952,           0.0063865,           0.0063865,           0.0063865
                  75,            0.028496,           0.0082737,           0.0078852,             0.88728,             0.89975,             0.91831,             0.66795,            0.021418,           0.0047415,             0.00372,            0.006337,            0.006337,            0.006337
                  76,             0.02847,           0.0082128,           0.0075529,             0.89486,             0.89083,             0.91961,             0.67314,            0.021337,           0.0047351,           0.0036586,           0.0062875,           0.0062875,           0.0062875
                  77,            0.028468,           0.0083313,           0.0078986,             0.89726,             0.89435,             0.92235,              0.6771,            0.021305,           0.0047157,           0.0036798,            0.006238,            0.006238,            0.006238
                  78,            0.028037,           0.0081194,           0.0074831,             0.90009,             0.89309,             0.92156,             0.67104,            0.021301,           0.0047038,           0.0036671,           0.0061885,           0.0061885,           0.0061885
                  79,            0.028455,           0.0082616,           0.0073089,             0.90935,             0.89803,             0.92234,             0.67094,            0.021184,           0.0046885,           0.0034938,            0.006139,            0.006139,            0.006139
                  80,            0.027731,           0.0080208,            0.007255,             0.91061,             0.89243,              0.9224,             0.67431,             0.02112,           0.0046849,           0.0033473,           0.0060895,           0.0060895,           0.0060895
                  81,            0.027865,           0.0082911,           0.0072303,             0.91656,             0.88381,             0.92286,             0.67566,            0.021017,           0.0046633,           0.0032574,             0.00604,             0.00604,             0.00604
                  82,            0.027526,           0.0080911,            0.006893,             0.91202,             0.89531,             0.92532,             0.67772,             0.02097,           0.0046516,           0.0031653,           0.0059905,           0.0059905,           0.0059905
                  83,            0.027787,           0.0081715,           0.0069407,             0.92261,             0.89291,             0.92673,             0.68105,            0.020863,           0.0046374,           0.0031276,            0.005941,            0.005941,            0.005941
                  84,            0.027694,           0.0079292,           0.0069063,             0.90909,             0.89101,              0.9167,             0.68199,            0.020793,           0.0046211,           0.0031332,           0.0058915,           0.0058915,           0.0058915
                  85,            0.027793,           0.0080258,           0.0067321,             0.91055,             0.89094,              0.9169,             0.68523,            0.020684,           0.0046065,           0.0031244,            0.005842,            0.005842,            0.005842
                  86,             0.02752,            0.007993,           0.0069082,             0.91861,             0.89896,             0.92607,             0.68572,            0.020661,           0.0045992,           0.0031621,           0.0057925,           0.0057925,           0.0057925
                  87,            0.027289,           0.0078987,           0.0067161,             0.92006,             0.89973,              0.9253,             0.68686,            0.020648,           0.0045942,           0.0031488,            0.005743,            0.005743,            0.005743
                  88,            0.027209,           0.0079717,           0.0066811,             0.91807,             0.90093,             0.92619,              0.6885,            0.020605,             0.00459,            0.003113,           0.0056935,           0.0056935,           0.0056935
                  89,             0.02731,            0.008085,           0.0065901,             0.91522,             0.90469,              0.9261,             0.68882,             0.02056,           0.0045937,           0.0030625,            0.005644,            0.005644,            0.005644
                  90,            0.027479,            0.008014,           0.0062976,             0.91781,             0.90503,              0.9261,              0.6889,            0.020477,           0.0045915,           0.0030075,           0.0055945,           0.0055945,           0.0055945
                  91,            0.027148,           0.0079655,           0.0065889,             0.92159,             0.90375,             0.92684,             0.69138,            0.020414,           0.0045938,           0.0029251,            0.005545,            0.005545,            0.005545
                  92,            0.026943,           0.0080276,            0.006193,             0.92241,             0.90775,             0.93083,             0.69127,            0.020354,           0.0045888,           0.0028532,           0.0054955,           0.0054955,           0.0054955
                  93,            0.027069,           0.0077759,           0.0061565,              0.9241,             0.90942,             0.93251,             0.69325,            0.020281,            0.004581,           0.0027838,            0.005446,            0.005446,            0.005446
                  94,            0.026936,           0.0077198,           0.0063763,             0.92673,             0.90825,             0.93195,             0.69341,            0.020274,           0.0045781,           0.0027417,           0.0053965,           0.0053965,           0.0053965
                  95,            0.026847,           0.0078839,           0.0063854,             0.93087,             0.90826,             0.93411,              0.6949,            0.020227,           0.0045712,           0.0027232,            0.005347,            0.005347,            0.005347
                  96,            0.026724,            0.007695,            0.006063,             0.93795,             0.91202,             0.93512,             0.69585,            0.020177,           0.0045527,           0.0026812,           0.0052975,           0.0052975,           0.0052975
                  97,            0.026921,           0.0078921,           0.0060012,              0.9382,             0.91288,             0.93611,             0.69538,            0.020132,           0.0045435,            0.002656,            0.005248,            0.005248,            0.005248
                  98,            0.026347,           0.0077686,           0.0057487,             0.93682,             0.91197,              0.9317,             0.69424,            0.020089,           0.0045345,            0.002641,           0.0051985,           0.0051985,           0.0051985
                  99,            0.026669,           0.0077166,           0.0057146,             0.93753,             0.91295,             0.93137,             0.69912,            0.020038,           0.0045242,           0.0026182,            0.005149,            0.005149,            0.005149
                 100,            0.026584,           0.0078281,           0.0059945,             0.93926,             0.91514,             0.93125,             0.69854,            0.019986,           0.0045145,           0.0026051,           0.0050995,           0.0050995,           0.0050995
