               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.09088,            0.021875,            0.083602,           0.0077698,             0.36309,            0.031867,             0.01481,            0.058777,            0.015665,            0.076393,            0.070056,           0.0033271,           0.0033271
                   1,            0.054077,            0.017907,            0.066699,             0.68613,             0.11986,             0.12296,            0.065689,            0.040563,           0.0088714,            0.061855,            0.040023,           0.0066275,           0.0066275
                   2,            0.047475,            0.013498,            0.054111,              0.7486,             0.19668,              0.2088,             0.11024,             0.03833,           0.0078248,            0.050459,           0.0099572,           0.0098948,           0.0098948
                   3,            0.042956,            0.012381,            0.043779,             0.82265,             0.25488,             0.28708,             0.15747,            0.034522,           0.0073612,            0.041039,           0.0098515,           0.0098515,           0.0098515
                   4,            0.039981,            0.011819,            0.037015,             0.88477,             0.29263,             0.35312,             0.20927,            0.032515,           0.0071115,            0.034976,           0.0098515,           0.0098515,           0.0098515
                   5,            0.038817,            0.011504,            0.032359,             0.92716,             0.28895,             0.38426,             0.23044,            0.032816,           0.0067745,            0.030205,            0.009802,            0.009802,            0.009802
                   6,            0.037809,            0.011297,            0.029156,             0.78709,             0.38199,             0.43425,             0.26461,            0.033459,            0.006629,            0.027778,           0.0097525,           0.0097525,           0.0097525
                   7,            0.037195,            0.010945,            0.027627,             0.83401,             0.40722,             0.49475,              0.2997,             0.03122,           0.0065007,             0.02549,            0.009703,            0.009703,            0.009703
                   8,            0.036603,            0.010755,            0.025669,             0.81807,             0.44597,             0.56929,             0.35122,            0.031339,           0.0064713,            0.023885,           0.0096535,           0.0096535,           0.0096535
                   9,            0.036051,            0.010754,             0.02424,             0.72774,             0.51658,             0.59117,             0.37625,            0.030602,           0.0063815,            0.022505,            0.009604,            0.009604,            0.009604
                  10,            0.035892,            0.010549,            0.022824,             0.84037,             0.47858,             0.61497,             0.38858,            0.031135,           0.0063171,            0.021074,           0.0095545,           0.0095545,           0.0095545
                  11,             0.03579,            0.010493,            0.021651,             0.76866,             0.55214,             0.65607,             0.42522,            0.029744,           0.0062572,            0.019654,            0.009505,            0.009505,            0.009505
                  12,            0.035439,            0.010519,            0.020598,             0.79891,             0.55432,             0.67274,             0.43191,            0.030455,           0.0062535,            0.018503,           0.0094555,           0.0094555,           0.0094555
                  13,            0.034689,            0.010368,            0.019225,             0.71236,             0.64525,             0.70264,             0.45532,            0.029773,           0.0061501,            0.017255,            0.009406,            0.009406,            0.009406
                  14,            0.034783,            0.010298,             0.01877,             0.73866,             0.65753,             0.71313,             0.46068,             0.02909,           0.0060076,            0.016732,           0.0093565,           0.0093565,           0.0093565
                  15,            0.034545,            0.010256,            0.018126,             0.77562,             0.65404,             0.71743,             0.46454,            0.028572,           0.0060339,            0.016045,            0.009307,            0.009307,            0.009307
                  16,            0.034116,            0.010038,            0.017192,               0.757,             0.66701,             0.75199,             0.47899,            0.029862,           0.0060148,            0.014565,           0.0092575,           0.0092575,           0.0092575
