               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.032207,           0.0053363,            0.028779,             0.62762,             0.20417,             0.22203,             0.14611,            0.033683,           0.0045264,            0.035459,            0.070079,           0.0033245,           0.0033245
                   1,            0.039188,           0.0055568,            0.031745,             0.61303,             0.18164,             0.19466,             0.12415,            0.036983,           0.0047271,            0.038267,            0.040046,           0.0066249,           0.0066249
                   2,            0.042681,           0.0061666,            0.037944,             0.63595,             0.14179,             0.14716,            0.089033,            0.042958,           0.0052666,            0.045775,           0.0099805,           0.0098923,           0.0098923
                   3,            0.043581,           0.0068234,            0.044254,             0.57779,              0.1194,             0.10717,            0.061118,            0.046164,           0.0064217,            0.053247,           0.0098515,           0.0098515,           0.0098515
                   4,            0.044057,           0.0068674,            0.047907,             0.65009,             0.12909,             0.12664,            0.073523,            0.042841,           0.0057257,            0.049922,           0.0098515,           0.0098515,           0.0098515
                   5,             0.04357,            0.006786,            0.045394,             0.68428,             0.12952,             0.12927,            0.077826,            0.040364,           0.0055433,            0.048631,            0.009802,            0.009802,            0.009802
                   6,            0.042963,           0.0066572,            0.045203,             0.71314,              0.1365,             0.14314,            0.086013,            0.040546,           0.0055019,            0.046089,           0.0097525,           0.0097525,           0.0097525
                   7,            0.042928,           0.0066428,            0.044134,             0.69584,             0.13841,             0.14196,            0.087231,            0.040149,           0.0054007,            0.046189,            0.009703,            0.009703,            0.009703
                   8,            0.042111,           0.0066958,            0.044033,             0.68112,             0.13218,             0.12596,            0.074936,            0.043403,           0.0057918,            0.050191,           0.0096535,           0.0096535,           0.0096535
                   9,            0.043746,           0.0067706,             0.04337,             0.71556,             0.15463,             0.16479,             0.10072,            0.040374,           0.0052803,            0.043706,            0.009604,            0.009604,            0.009604
                  10,            0.042421,           0.0066076,            0.043572,             0.71558,             0.14798,             0.15465,            0.098491,            0.039185,           0.0051985,            0.044418,           0.0095545,           0.0095545,           0.0095545
