               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.085593,            0.023502,            0.080713,             0.57541,            0.091312,            0.073872,            0.037586,             0.05116,            0.013097,            0.070873,            0.070056,           0.0033271,           0.0033271
                   1,            0.048857,            0.016176,            0.058721,             0.80582,             0.22739,             0.23343,              0.1235,            0.037411,           0.0080823,             0.05138,            0.040023,           0.0066275,           0.0066275
                   2,            0.044205,            0.011774,            0.044422,             0.84984,             0.28528,             0.33799,             0.17264,            0.035175,           0.0070371,            0.040353,           0.0099572,           0.0098948,           0.0098948
                   3,            0.039715,             0.01049,            0.034424,             0.87405,             0.36675,              0.4679,             0.27901,            0.031679,           0.0063075,            0.030937,           0.0098515,           0.0098515,           0.0098515
                   4,            0.036693,           0.0098321,            0.027488,             0.75256,             0.50542,             0.54197,             0.33159,            0.030968,           0.0064191,            0.026158,           0.0098515,           0.0098515,           0.0098515
                   5,            0.035286,           0.0094627,             0.02338,             0.81375,             0.54104,             0.64852,             0.40493,            0.030483,           0.0057739,            0.022039,            0.009802,            0.009802,            0.009802
                   6,            0.034269,           0.0093128,            0.020655,             0.82331,             0.64582,             0.69876,             0.42505,            0.029583,           0.0055556,             0.01847,           0.0097525,           0.0097525,           0.0097525
                   7,            0.033412,           0.0089483,            0.018154,              0.7093,             0.69528,             0.73896,             0.48412,            0.028156,           0.0056284,            0.017071,            0.009703,            0.009703,            0.009703
                   8,            0.032935,            0.008849,            0.016942,             0.77538,             0.69122,             0.78706,             0.51588,            0.028094,           0.0055851,            0.015642,           0.0096535,           0.0096535,           0.0096535
                   9,            0.032156,           0.0088334,            0.015572,             0.74353,             0.76043,             0.79031,             0.52704,            0.026916,           0.0054277,            0.014052,            0.009604,            0.009604,            0.009604
                  10,            0.032045,           0.0086257,            0.014374,             0.79035,             0.76445,             0.82771,             0.55562,            0.027693,           0.0053302,            0.012656,           0.0095545,           0.0095545,           0.0095545
                  11,             0.03146,           0.0084993,            0.013165,             0.80845,             0.79552,             0.85069,             0.56588,            0.027015,           0.0052463,            0.010739,            0.009505,            0.009505,            0.009505
                  12,            0.031139,           0.0084536,            0.012173,             0.88714,              0.8047,              0.8764,             0.59424,            0.026393,            0.005212,            0.010433,           0.0094555,           0.0094555,           0.0094555
                  13,            0.030562,           0.0082648,            0.010819,             0.89477,             0.84065,             0.88411,             0.59457,             0.02605,           0.0051764,           0.0094203,            0.009406,            0.009406,            0.009406
                  14,            0.030608,           0.0083105,            0.010495,             0.85939,             0.87087,             0.88973,             0.58652,             0.02629,            0.005053,           0.0088113,           0.0093565,           0.0093565,           0.0093565
                  15,            0.030378,           0.0082997,            0.010391,             0.90538,             0.85608,             0.89654,             0.61881,            0.025584,           0.0051003,           0.0082946,            0.009307,            0.009307,            0.009307
                  16,            0.030054,           0.0080156,           0.0091557,             0.85947,             0.87845,             0.90491,              0.6091,            0.025744,           0.0050432,           0.0074787,           0.0092575,           0.0092575,           0.0092575
                  17,            0.029605,           0.0080096,           0.0084754,             0.90209,             0.86347,             0.90508,             0.60941,            0.025047,           0.0049724,            0.007225,            0.009208,            0.009208,            0.009208
                  18,            0.029254,           0.0079705,           0.0082337,              0.9252,             0.87581,             0.90459,             0.63152,            0.024766,           0.0049362,           0.0061526,           0.0091585,           0.0091585,           0.0091585
                  19,            0.029466,           0.0080836,           0.0085059,             0.94699,             0.88083,              0.9138,             0.64344,            0.024614,           0.0049825,           0.0061417,            0.009109,            0.009109,            0.009109
                  20,             0.02903,           0.0078399,           0.0074604,              0.9143,             0.88912,             0.92268,             0.63855,            0.024286,           0.0048512,           0.0054227,           0.0090595,           0.0090595,           0.0090595
                  21,              0.0285,             0.00773,           0.0071641,             0.94894,             0.88702,             0.91877,             0.64102,            0.024339,           0.0048129,           0.0051407,             0.00901,             0.00901,             0.00901
                  22,            0.028432,           0.0076133,           0.0070269,             0.92165,               0.883,             0.92089,             0.65351,            0.023846,           0.0047363,           0.0052178,           0.0089605,           0.0089605,           0.0089605
                  23,            0.028197,             0.00756,           0.0069324,             0.92865,             0.89025,             0.92626,               0.664,            0.023351,           0.0047397,           0.0053485,            0.008911,            0.008911,            0.008911
                  24,               0.028,            0.007573,           0.0065125,             0.93252,              0.8964,             0.92812,             0.66558,            0.023038,           0.0046558,           0.0048309,           0.0088615,           0.0088615,           0.0088615
                  25,            0.027654,           0.0075768,           0.0063863,             0.94038,             0.88408,             0.92382,             0.66021,            0.023021,           0.0046966,           0.0042901,            0.008812,            0.008812,            0.008812
                  26,            0.027477,           0.0073472,           0.0060816,             0.94884,             0.89688,             0.92919,             0.67445,            0.022836,           0.0046181,           0.0045354,           0.0087625,           0.0087625,           0.0087625
