               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.082577,            0.017993,             0.11176,           0.0029174,             0.24243,            0.004407,           0.0019311,            0.058027,            0.011136,             0.10867,            0.070079,           0.0033245,           0.0033245
                   1,            0.058897,            0.011405,               0.101,           0.0022705,             0.23789,           0.0058181,           0.0020381,            0.070702,           0.0076119,            0.099358,            0.040057,           0.0066359,           0.0066359
                   2,            0.058322,           0.0091527,            0.096616,           0.0026079,             0.30034,           0.0091207,           0.0047098,            0.054436,           0.0067648,            0.094071,            0.010013,           0.0099252,           0.0099252
                   3,            0.053657,           0.0080984,            0.089521,             0.90977,            0.016797,             0.01655,           0.0081995,            0.046875,           0.0063404,            0.088927,            0.009901,            0.009901,            0.009901
                   4,            0.050852,           0.0075939,            0.087497,             0.88679,            0.025239,            0.021312,            0.010921,            0.046795,            0.005989,            0.084939,            0.009901,            0.009901,            0.009901
                   5,            0.047502,           0.0073322,            0.084091,              0.9141,            0.032487,            0.026805,            0.015213,            0.041267,           0.0060189,             0.08185,            0.009868,            0.009868,            0.009868
                   6,             0.04568,           0.0069834,            0.079329,             0.86816,            0.049034,            0.033959,            0.019139,            0.041895,           0.0057955,            0.079219,            0.009835,            0.009835,            0.009835
                   7,            0.044925,           0.0068574,            0.077912,             0.86876,            0.053948,            0.039037,            0.023156,            0.040538,           0.0055847,             0.07715,            0.009802,            0.009802,            0.009802
                   8,            0.044012,           0.0068304,            0.075507,             0.87513,            0.063837,            0.046999,            0.027896,            0.039868,           0.0054989,            0.074814,            0.009769,            0.009769,            0.009769
                   9,            0.043203,           0.0068809,            0.074511,             0.86597,            0.075723,            0.049918,            0.029602,            0.037954,           0.0056175,               0.073,            0.009736,            0.009736,            0.009736
                  10,            0.043125,           0.0067144,            0.073875,             0.86142,            0.076188,            0.054437,            0.033392,            0.038627,           0.0053399,              0.0716,            0.009703,            0.009703,            0.009703
                  11,            0.040542,           0.0065383,            0.070437,             0.87555,            0.077104,            0.061511,            0.036511,             0.03537,           0.0053115,            0.069376,             0.00967,             0.00967,             0.00967
                  12,            0.041432,           0.0064909,            0.069857,             0.86699,            0.081612,            0.066487,            0.040276,            0.034235,            0.005278,            0.067904,            0.009637,            0.009637,            0.009637
                  13,            0.041031,           0.0063383,             0.06782,             0.85391,            0.088499,            0.069208,            0.042786,            0.036781,            0.005217,            0.066936,            0.009604,            0.009604,            0.009604
                  14,            0.040617,           0.0064658,            0.067129,             0.85631,            0.095871,             0.07227,            0.044982,            0.035523,           0.0051584,            0.065336,            0.009571,            0.009571,            0.009571
                  15,            0.039696,            0.006329,            0.065945,             0.85085,            0.099255,            0.078617,            0.048261,            0.035068,            0.005198,            0.064021,            0.009538,            0.009538,            0.009538
                  16,            0.039013,           0.0063808,            0.064126,             0.85372,             0.10362,            0.082511,            0.050994,            0.034777,           0.0051285,            0.063057,            0.009505,            0.009505,            0.009505
                  17,            0.039058,            0.006229,            0.062092,             0.85876,             0.10199,            0.086054,            0.052836,            0.035731,            0.005111,            0.061965,            0.009472,            0.009472,            0.009472
                  18,            0.039616,           0.0062326,            0.061511,             0.85868,             0.10723,            0.090651,            0.056175,            0.034569,           0.0049997,            0.060962,            0.009439,            0.009439,            0.009439
                  19,            0.039096,           0.0061879,            0.061509,             0.85626,             0.11188,            0.092434,             0.05855,             0.03496,            0.004972,            0.059914,            0.009406,            0.009406,            0.009406
                  20,            0.039122,           0.0061498,            0.060951,             0.86004,             0.11084,            0.096255,              0.0617,            0.035108,            0.005087,            0.058936,            0.009373,            0.009373,            0.009373
                  21,            0.038923,           0.0062151,            0.059084,             0.86835,             0.10995,            0.098168,            0.062443,            0.033643,           0.0051272,            0.058785,             0.00934,             0.00934,             0.00934
                  22,             0.03888,           0.0061538,            0.058612,             0.85769,             0.11345,             0.09971,            0.065047,            0.034764,           0.0050261,             0.05741,            0.009307,            0.009307,            0.009307
                  23,            0.038656,           0.0061077,            0.057456,             0.85396,             0.11791,             0.10479,            0.066958,            0.033068,           0.0048999,            0.056779,            0.009274,            0.009274,            0.009274
                  24,            0.038403,           0.0060346,            0.056213,             0.86519,              0.1207,              0.1115,            0.073248,            0.031867,           0.0048677,            0.056143,            0.009241,            0.009241,            0.009241
                  25,            0.037148,           0.0060337,            0.055499,             0.88545,             0.11862,             0.11235,            0.072484,             0.03398,            0.004877,            0.055364,            0.009208,            0.009208,            0.009208
                  26,            0.038029,            0.006098,            0.054838,             0.86841,             0.12852,             0.11474,            0.074811,            0.032028,           0.0048577,            0.054383,            0.009175,            0.009175,            0.009175
                  27,            0.037955,           0.0059114,            0.054702,              0.8512,             0.12462,             0.11453,            0.075545,            0.032857,           0.0049292,            0.054315,            0.009142,            0.009142,            0.009142
                  28,            0.038116,           0.0061461,            0.055318,             0.87361,             0.11896,             0.11801,            0.076365,            0.034421,           0.0049994,            0.054295,            0.009109,            0.009109,            0.009109
                  29,            0.037706,           0.0061027,            0.052845,             0.86479,             0.12156,             0.12328,            0.080151,            0.033217,           0.0048816,            0.053192,            0.009076,            0.009076,            0.009076
                  30,            0.037725,           0.0059171,             0.05241,             0.87604,              0.1233,             0.12432,            0.081668,            0.032096,           0.0048122,            0.052757,            0.009043,            0.009043,            0.009043
                  31,            0.037624,           0.0059207,            0.052291,             0.84673,             0.13329,             0.12671,            0.082475,            0.032774,           0.0049646,            0.052389,             0.00901,             0.00901,             0.00901
                  32,            0.038129,            0.006044,            0.053272,             0.86341,             0.13045,             0.13134,            0.087447,            0.032068,           0.0048277,            0.051912,            0.008977,            0.008977,            0.008977
                  33,            0.037734,           0.0059981,            0.053093,             0.84994,             0.13555,              0.1315,            0.088113,            0.032084,           0.0047154,            0.051711,            0.008944,            0.008944,            0.008944
                  34,            0.037478,           0.0059776,            0.051403,             0.86424,             0.13578,             0.13601,            0.090818,            0.031567,           0.0047199,            0.050533,            0.008911,            0.008911,            0.008911
