               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.031362,           0.0047847,             0.01876,             0.72841,             0.29585,             0.36655,             0.26157,            0.034532,           0.0040325,            0.025666,            0.070079,           0.0033245,           0.0033245
                   1,            0.034987,           0.0047939,            0.019019,             0.73035,             0.28997,             0.34364,             0.23242,            0.036377,           0.0042372,            0.026866,            0.039948,            0.006526,            0.006526
                   2,             0.03953,           0.0051645,            0.022804,             0.71386,             0.27033,             0.30356,             0.19154,             0.03929,           0.0044795,              0.0327,           0.0096837,           0.0095955,           0.0095955
                   3,            0.040432,           0.0058208,            0.029206,             0.66871,             0.22612,             0.24795,             0.15914,            0.039556,           0.0049734,            0.037773,            0.009406,            0.009406,            0.009406
                   4,            0.039873,           0.0059032,            0.032362,             0.66132,             0.24762,              0.2652,             0.17419,            0.035976,           0.0047722,            0.034947,            0.009406,            0.009406,            0.009406
                   5,            0.040371,           0.0059859,            0.031182,             0.72484,              0.2185,             0.26223,             0.17091,            0.036911,           0.0048483,            0.035473,            0.009208,            0.009208,            0.009208
                   6,            0.039004,           0.0058305,            0.031913,             0.67618,             0.23949,             0.27122,             0.17709,            0.041554,           0.0048941,            0.034054,             0.00901,             0.00901,             0.00901
                   7,            0.039876,           0.0057952,            0.029961,             0.71904,             0.24088,             0.27834,              0.1785,            0.038989,           0.0047572,            0.032561,            0.008812,            0.008812,            0.008812
                   8,            0.040163,           0.0058742,            0.029247,              0.6844,             0.23879,             0.28425,             0.18878,            0.038802,           0.0047787,            0.034531,            0.008614,            0.008614,            0.008614
                   9,            0.039613,           0.0059123,            0.028891,             0.68582,             0.24712,             0.28055,             0.18824,            0.038077,           0.0046604,            0.032027,            0.008416,            0.008416,            0.008416
                  10,            0.039754,           0.0058198,            0.029268,              0.6888,             0.22012,             0.26365,             0.17497,            0.037922,            0.004837,              0.0337,            0.008218,            0.008218,            0.008218
                  11,            0.038587,           0.0057458,            0.028533,             0.74072,             0.23592,             0.28422,             0.18426,            0.035844,           0.0047422,            0.032542,             0.00802,             0.00802,             0.00802
                  12,            0.039174,           0.0055576,             0.02723,             0.74376,             0.25065,             0.29957,             0.19981,            0.033995,           0.0045525,            0.030281,            0.007822,            0.007822,            0.007822
                  13,            0.038094,           0.0054413,            0.026807,             0.70798,             0.25378,             0.30631,             0.20478,            0.036044,           0.0044973,            0.030018,            0.007624,            0.007624,            0.007624
                  14,            0.038128,           0.0055259,            0.026155,             0.77148,             0.23902,             0.30342,             0.20406,            0.037593,           0.0044937,             0.03021,            0.007426,            0.007426,            0.007426
                  15,            0.037759,           0.0053976,             0.02649,             0.73801,             0.26046,             0.31509,             0.21333,            0.034606,           0.0044706,            0.029772,            0.007228,            0.007228,            0.007228
                  16,             0.03733,           0.0054552,            0.024949,             0.76202,              0.2535,             0.33059,             0.22451,            0.034848,           0.0044642,            0.028963,             0.00703,             0.00703,             0.00703
                  17,            0.036349,           0.0053486,            0.023897,             0.77212,              0.2556,             0.32607,             0.21896,             0.03555,           0.0044282,            0.028768,            0.006832,            0.006832,            0.006832
                  18,            0.036887,           0.0053502,            0.023725,             0.71042,             0.27302,             0.31797,             0.21292,            0.035629,           0.0044116,            0.029378,            0.006634,            0.006634,            0.006634
                  19,            0.035905,           0.0053037,            0.024707,              0.7673,             0.25055,             0.31596,              0.2175,            0.034397,           0.0044197,            0.028528,            0.006436,            0.006436,            0.006436
                  20,            0.035677,           0.0052031,            0.024381,             0.74976,             0.26602,             0.32279,             0.22326,             0.03325,           0.0043514,            0.028207,            0.006238,            0.006238,            0.006238
                  21,            0.036148,           0.0052514,            0.023752,             0.75726,              0.2826,             0.33837,             0.23438,            0.032244,           0.0043033,            0.027092,             0.00604,             0.00604,             0.00604
                  22,            0.035531,           0.0052166,            0.023111,             0.69148,             0.29022,              0.3269,             0.22455,             0.03377,           0.0043237,            0.027462,            0.005842,            0.005842,            0.005842
                  23,            0.035387,           0.0051738,            0.022251,             0.71612,             0.29026,             0.33858,             0.23297,            0.031564,           0.0043318,            0.027208,            0.005644,            0.005644,            0.005644
                  24,            0.034376,           0.0051601,            0.021656,             0.73067,             0.28722,             0.34529,             0.24165,            0.031568,           0.0042696,            0.026584,            0.005446,            0.005446,            0.005446
                  25,            0.033964,           0.0051454,            0.020872,             0.72476,              0.2872,             0.33868,             0.23742,            0.032294,           0.0042162,            0.025911,            0.005248,            0.005248,            0.005248
                  26,            0.033873,           0.0051397,            0.020939,              0.7551,             0.27896,             0.34783,             0.23934,            0.031886,           0.0042445,             0.02621,             0.00505,             0.00505,             0.00505
                  27,            0.034486,           0.0050174,            0.020705,              0.7318,             0.28316,             0.34528,              0.2427,            0.031181,            0.004224,            0.025562,            0.004852,            0.004852,            0.004852
                  28,            0.033909,           0.0050754,            0.020916,             0.73989,             0.29394,             0.35496,             0.25221,             0.03116,           0.0041966,            0.025329,            0.004654,            0.004654,            0.004654
                  29,             0.03358,           0.0050634,            0.019341,             0.75028,              0.2904,             0.36274,             0.25781,            0.032129,           0.0041382,             0.02511,            0.004456,            0.004456,            0.004456
                  30,            0.033113,           0.0049048,            0.018968,             0.73816,             0.29939,             0.35524,             0.25162,            0.030435,           0.0041304,            0.025578,            0.004258,            0.004258,            0.004258
                  31,            0.032316,           0.0048165,            0.019124,             0.76643,              0.2813,             0.35993,             0.25658,            0.029982,           0.0041072,            0.025171,             0.00406,             0.00406,             0.00406
                  32,            0.032353,           0.0048795,            0.019755,              0.7443,             0.29993,              0.3565,             0.25332,            0.030222,           0.0041169,            0.025833,            0.003862,            0.003862,            0.003862
                  33,            0.031674,           0.0048689,            0.019734,             0.76428,             0.28033,             0.36476,             0.26128,            0.029178,           0.0041093,            0.025638,            0.003664,            0.003664,            0.003664
                  34,            0.031683,           0.0049061,            0.019306,             0.75386,             0.29079,             0.36768,             0.26428,            0.028681,           0.0040977,            0.025163,            0.003466,            0.003466,            0.003466
                  35,            0.031248,           0.0048127,            0.018513,             0.72673,              0.3161,             0.37129,             0.26534,            0.028817,           0.0040627,            0.024881,            0.003268,            0.003268,            0.003268
                  36,            0.030585,           0.0047625,            0.019084,             0.78718,             0.28347,             0.37255,             0.26726,            0.028542,           0.0041015,            0.024811,             0.00307,             0.00307,             0.00307
                  37,             0.02972,           0.0048145,            0.017611,             0.76392,             0.29711,              0.3781,             0.27275,            0.027725,           0.0040543,            0.024168,            0.002872,            0.002872,            0.002872
                  38,            0.029885,            0.004652,            0.017648,             0.75767,             0.30166,             0.36918,             0.26648,             0.02813,           0.0039891,            0.024099,            0.002674,            0.002674,            0.002674
                  39,            0.028863,             0.00468,            0.017231,             0.75802,             0.30925,               0.371,             0.26697,             0.02796,           0.0039846,            0.024208,            0.002476,            0.002476,            0.002476
                  40,            0.028441,           0.0046608,            0.016797,             0.71279,             0.32233,             0.37892,             0.27397,            0.027114,            0.003961,            0.023827,            0.002278,            0.002278,            0.002278
                  41,            0.028499,           0.0047214,            0.016596,               0.738,             0.31582,             0.38401,             0.27868,             0.02697,           0.0039901,            0.023409,             0.00208,             0.00208,             0.00208
                  42,            0.027915,           0.0045872,            0.016128,             0.73756,             0.31709,             0.38649,             0.28269,            0.027084,           0.0039715,            0.023293,            0.001882,            0.001882,            0.001882
                  43,            0.027696,           0.0045505,            0.016135,             0.73064,             0.32175,             0.38572,             0.28469,            0.025829,           0.0039747,            0.023262,            0.001684,            0.001684,            0.001684
                  44,            0.026779,           0.0044815,            0.016427,             0.74484,             0.32137,              0.3893,             0.28703,            0.026162,           0.0039752,             0.02331,            0.001486,            0.001486,            0.001486
                  45,            0.026531,            0.004571,            0.016381,             0.73022,             0.32681,             0.38862,             0.28699,            0.025705,           0.0039434,            0.023083,            0.001288,            0.001288,            0.001288
                  46,            0.025763,           0.0044732,            0.015928,             0.72816,             0.32429,             0.38686,             0.28594,            0.025755,            0.003942,            0.022951,             0.00109,             0.00109,             0.00109
                  47,            0.025661,           0.0045275,            0.016482,             0.73649,             0.32078,             0.38935,             0.28744,            0.025134,           0.0039327,             0.02303,            0.000892,            0.000892,            0.000892
                  48,            0.025152,           0.0045321,            0.015497,             0.71803,             0.32447,             0.38885,             0.28831,            0.025348,           0.0039191,            0.023154,            0.000694,            0.000694,            0.000694
                  49,            0.024604,           0.0043704,            0.014631,             0.71134,             0.32427,             0.39165,              0.2921,            0.024876,           0.0039084,            0.023092,            0.000496,            0.000496,            0.000496
